Account,Date,Merchant,Description,Amount,Type,Category,Sub-category,Property,Unit,Notes
Grape LFTY403 DAO LLC-724 3rd Ave Operations-4314,"March 09, 2026",ARCADIA,ARCADIA,-388.89,,,,724 3rd Ave,,
Lofty Holding 1518 Dille Road DAO LLC-1518 Dille Rd Operations-9343,"March 09, 2026",IN *ANDREW DOWNING,IN *ANDREW DOWNING,-1080,,,,1518 Dille Rd,,Unclog and hydrojet sewer
Lofty Holding 1518 Dille Road DAO LLC-1518 Dille Rd Operations-9343,"March 09, 2026",IN *ANDREW DOWNING,IN *ANDREW DOWNING,-1900,,,,1518 Dille Rd,,Unclog and hydrojet sewer
Lofty Holding 1518 Dille Road DAO LLC-1518 Dille Rd Operations-9343,"March 09, 2026",IN *ANDREW DOWNING,IN *ANDREW DOWNING,-140,,,,566 Nash St,,Unclog sewer
Lofty Holding 1518 Dille Road DAO LLC-1518 Dille Rd Operations-9343,"March 09, 2026",IN *ANDREW DOWNING,IN *ANDREW DOWNING,-205,,,,1432 Sara Ave.,,Fix toilet
"ECO Systems, LLC-ECO Systems Operations-2624","March 04, 2026",WYOMING SECRETARY OF ST,WYOMING SECRETARY OF ST,-103.75,,,,917 Pawnee Ave,,
"ECO Systems, LLC-ECO Systems Operations-2624","March 03, 2026",WYOMING SECRETARY OF ST,WYOMING SECRETARY OF ST,-62.25,,,,917 Pawnee Ave,,
Checking-Checking-0000-0000,"February 28, 2026",Coinbase,ORIG CO NAME:Coinbase.com CO ENTRY DESCR:BGQAMTUJ SEC:PPD ORIG ID:1455293997,1122.96,Transfers & Other,Owner Contributions/Distributions,,EARLDAO,,
CSR-CSR-7519-7519,"February 09, 2026",Lyft,Lyft,-23.24,Operating Expenses,Auto & Travel,,27 Pillar Ln,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 09, 2026",NEWREZ-SHELLPOIN,NEWREZ-SHELLPOIN  |  WEB PMTS |  0579768659,-2002.59,Loan Payments & Capex,Mortgage Payments,,88 Madison Ave,,*SPLIT*
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 09, 2026",Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,910.67,,,,90 Madison Ave,,Morgan Linen Service Reimbursement Jan 9 to Mar 6 2026
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"March 09, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-910.67,,,,90 Madison Ave,,Morgan Linen Service Reimbursement Jan 9 to Mar 6 2026
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 09, 2026",Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,910.67,,,,86 Madison Ave,,Morgan Linen Service Reimbursement Jan 9 to Mar 6 2026
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"March 09, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-910.67,,,,86 Madison Ave,,Morgan Linen Service Reimbursement Jan 9 to Mar 6 2026
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"March 09, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-728.53,,,,84 Madison Ave,,Morgan Linen Service Reimbursement Jan 9 to Mar 6 2026
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 09, 2026",Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,728.53,,,,84 Madison Ave,,Morgan Linen Service Reimbursement Jan 9 to Mar 6 2026
Poodle LFTY0452 DAO LLC-85-104 Alawa Pl Operations-1176,"March 09, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-443.72,Transfers & Other,Transfers Between Accounts,,85-104 Alawa Pl,,Reimbursement for TaskRabbit Cleaning 9/9/25
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 09, 2026",Poodle LFTY0452 DAO LLC  |  INTERNAL_TRANSFER,Poodle LFTY0452 DAO LLC  |  INTERNAL_TRANSFER,443.72,Transfers & Other,Transfers Between Accounts,,85-104 Alawa Pl,,Reimbursement for TaskRabbit Cleaning 9/9/25
Grape LFTY403 DAO LLC-724 3rd Ave Operations-4314,"March 09, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-108,Transfers & Other,Transfers Between Accounts,,724 3rd Ave,,Orkin Pest Reimbursement 11/4/25
