"Account","Date","Merchant","Description","Amount","Type","Category","Sub-category","Property","Unit","Notes"
"Lofty Holding 8143 S Sangamon Street DAO LLC-8143 S Sangamon St Operations-9119","January 28, 2026","OSC - RISK SECURE","","-200.03","Operating Expenses","Insurance","Rental Dwelling"," 8143 S Sangamon St.","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","OSC - RISK SECURE","","-139.91","Operating Expenses","Insurance","Rental Dwelling","9634 S Green St","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","OSC - RISK SECURE","","-88.64","Operating Expenses","Insurance","Rental Dwelling","783 Leonard St","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","OSC - RISK SECURE","","-156.63","Operating Expenses","Insurance","Rental Dwelling","3850 W 17th St","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","OSC - RISK SECURE","","-106.58","Operating Expenses","Insurance","Rental Dwelling","4183 E 146 St","",""
"Lofty Holding 428 Cross Street DAO LLC-428 Cross St Operations-5461","January 28, 2026","OSC - RISK SECURE","","-181.04","Operating Expenses","Insurance","Rental Dwelling","428 Cross St.","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","OSC - RISK SECURE","","-91.17","Operating Expenses","Insurance","Rental Dwelling","7411 Elton Ave","",""
"Grape LFTY403 DAO LLC - 724 3rd Ave-724 3rd Ave Operations-4314","January 28, 2026","ARCADIA","","-354.87","Operating Expenses","Utilities","Gas & Electric","724 3rd Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","January 28, 2026","ARCADIA","","-521.14","Operating Expenses","Utilities","Gas & Electric","88 Madison Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","January 28, 2026","ARCADIA","","-432.47","Operating Expenses","Utilities","Gas & Electric","88 Madison Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","OSC - RISK SECURE","","-122.15","Operating Expenses","Insurance","Rental Dwelling","8708 Willard Ave","",""
"Lofty Holding 5541 S Peoria Street DAO LLC-5541 S Peoria St Operations-9125","January 28, 2026","OSC - RISK SECURE","","-268.62","Operating Expenses","Insurance","Rental Dwelling","5541 S Peoria St","",""
"Lofty Holding 7542 & 7656 S Colfax Avenue DAO LLC-Lofty Holding 7542 & 7656 S Colfax Ave Operations-9094","January 28, 2026","OSC - RISK SECURE","","-292.87","Operating Expenses","Insurance","Rental Dwelling","7542 S Colfax Ave","",""
"Lofty Holding 7542 & 7656 S Colfax Avenue DAO LLC-Lofty Holding 7542 & 7656 S Colfax Ave Operations-9094","January 28, 2026","OSC - RISK SECURE","","-368.11","Operating Expenses","Insurance","Rental Dwelling","7542 S Colfax Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","OSC - RISK SECURE","","-136.76","Operating Expenses","Insurance","Rental Dwelling","26931 Shoreview Ave","",""
"Lofty Holding 25 Circle Drive DAO LLC-25 Circle Dr Operations-8274","January 28, 2026","OSC - RISK SECURE","","-87.5","Operating Expenses","Insurance","Rental Dwelling","25 Circle Dr","",""
"Lofty Holding 1518 Dille Road DAO LLC - Ohio 3-Prop-1518 Dille Rd Operations-9343","January 28, 2026","OSC - RISK SECURE","","-195.91","Operating Expenses","Insurance","Rental Dwelling","1518 Dille Rd","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","OSC - RISK SECURE","","-277.99","Operating Expenses","Insurance","Rental Dwelling","1456 W 85th St.","",""
"Lofty Holding 1432 Sara Avenue DAO LLC-1432 Sara Ave Operations-7012","January 28, 2026","OSC - RISK SECURE","","-89.78","Operating Expenses","Insurance","Rental Dwelling","1432 Sara Ave.","",""
"Lofty Holding 1518 Dille Road DAO LLC - Ohio 3-Prop-1518 Dille Rd Operations-9343","January 28, 2026","OSC - RISK SECURE","","-89.33","Operating Expenses","Insurance","Rental Dwelling","1321 Allendale Ave","",""
"Lofty Holding 1278 E 187th Street DAO LLC-1278 E 187th St Operations-9154","January 28, 2026","OSC - RISK SECURE","","-123.82","Operating Expenses","Insurance","Rental Dwelling","1278 E 187th St","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","OSC - RISK SECURE","","-229.6","Operating Expenses","Insurance","Rental Dwelling","10724 Gooding Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","OSC - RISK SECURE","","-462","Operating Expenses","Insurance","Rental Dwelling","616 East 97th St","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","OSC - RISK SECURE","","-462","Operating Expenses","Insurance","Rental Dwelling","616 East 97th St","",""
"Beagle LFTY0454 DAO LLC - 22164 Umland Circle-22164 Umland Circle Operations-4909","January 28, 2026","FRONTIER COMMUNICATION","","-104.12","Operating Expenses","Utilities","Phone, Cable & Internet","22164 Umland Circle","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","January 26, 2026","AMAZON MKTPLACE PMTS","","-175.21","Operating Expenses","Supplies","General Operating Expenses","88 Madison Ave","",""
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Operations-1879","January 28, 2026","Lofty Holding 1039 Mt Vernon Road DAO LLC  |  TRANSFER_O","Lofty Holding 1039 Mt Vernon Road DAO LLC  |  TRANSFER_O","-10000","Loan Payments & Capex","Other Loan Principal Payments","General Loan Payments & Capex","804 S Quitman St","","Vernon 70k Loan Principal Curtailment"
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Operations-1879","January 28, 2026","Earl Vanze Co  |  INTERNAL_TRANSFER","Earl Vanze Co  |  INTERNAL_TRANSFER","10000","Transfers & Other","Transfers Between Accounts","General Transfers & Other","804 S Quitman St","","Ian Haber 10k USDC via Coinbase"
"Earl Vanze Co-Coinbase-0498","January 28, 2026","Lion LFTY0435 DAO LLC  |  INTERNAL_TRANSFER","Lion LFTY0435 DAO LLC  |  INTERNAL_TRANSFER","-10000","Transfers & Other","Transfers Between Accounts","General Transfers & Other","804 S Quitman St","","Ian Haber 10k USDC via Coinbase"
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","CASH APP*AUSTIN TINKHAM","CASH APP*AUSTIN TINKHAM, Oakland, CA, US  |  **4225","-212.32","Operating Expenses","Repairs","Repairs Supplies","402 N Wild Olive Ave","",""
"Zebra LFTY0476 DAO LLC - 9 Country Club Ln N-9 Country Club Ln Operations-0716","January 28, 2026","Stone Manor Hospitality LLC  |  TRANSFER_O","Stone Manor Hospitality LLC  |  TRANSFER_O","-400","Operating Expenses","Cleaning & Maintenance","Cleaning & Janitorial","9 Country Club Ln N","","Cleaning Fee for 1/17/26 - 1/19/26 guest"
"Zebra LFTY0476 DAO LLC - 9 Country Club Ln N-9 Country Club Ln Operations-0716","January 28, 2026","Stone Manor Hospitality LLC  |  TRANSFER_O","Stone Manor Hospitality LLC  |  TRANSFER_O","-311.5","Operating Expenses","Utilities","Phone, Cable & Internet","9 Country Club Ln N","","Verizon Fios Bill November 2025"
