Property,total_investment
2489 Charlene Ct,228500
967 Cedarwood Ave,333050
Lot 24 25 Conner Heights Rd,106350
172 OH-53,142700
62 Liberty St,80300
217 W Stone St,117450
51 St Clair St,137250
395 Main St,190200
4506 S Fallwood Ct,465150
9901 E Evans Ave Unit 4C,317850
2221 E Chase St,279000
8848 N 95th St K,68850
25 Rocky Ridge Rd,845650
1415 Race St,622250
516 E 2nd St,312000
14705 Fairland Dr,453450
581 San Francisco St,286250
90 Madison Ave,328650
1580 Andover Dr,312500
10828 Pluton St,848400
2515 Coronet Dr,179965.54
110 Gardengate Dr,302026
142 13th St,134796.72
10917 Fidelity Ave,173331.14
4245 E 177th Pl,134591.55
2820 Rucker Ave,3795700
11125 Lawnhaven Rd,1813500
724 3rd Ave,233850
9 Country Club Ln N,1960650
85-104 Alawa Pl,730450
88 Madison Ave,372750
2208 Murray Ave,627000
222 57th St,432650
8202 Laurel Ave,209550
14018 Arcadia Road NE,917550
29172 Oakwood St,129422.93
84 Madison Ave,391050
999 Canyon Rd,543550
1048 Hilton Rd,259800
217 McClallen Dr,923050
230 Seacrest Ln,1490900
6117 Hyde Flats Road 21,61650
333 Illinois Ave,245399.33
86 Madison Ave,368050
6251 Cahuilla Ave,374400
6601 E Hearn Rd,2367550
3761 Jade Ave,313600
503 Colorado Street Unit 4,148900
1015 Wycomb Dr,149198
323 E 9th St,118300
703 23rd Ave,80130
5333 Ponte Tresa Dr,763150
1317 South Solano Dr,761450
326-332 S Alcott St,921600
5541 S Peoria St,273650
12615 Jackson Ave,1352100
11604 D K Ranch Rd,927700
1821 Donetto Dr,637700
61622 El Reposo St,562800
440 Louden Ave,452450
11400 Linnet Ave,159967.79
3427 Sturdevant St,97450
2305 N 156th Pl,1077900
800 Embassy Drive Unit 202,503900
16713 Lotus Dr,119273.23
1190 Ridgetop Ave,295200
13596 SW Mapleview Ln,658800
2301 Private Rd 7320 (Mobile Home Park),445900
Earl DAO,425000
8201 Madison Ave,433100
Universal Lending DAO (ULD),146373.12
2094 W 34th Place,194100
8646 Ford Ave,110200
3976 Stillwood Dr,203787.05
917 Pawnee Ave,122677.8
127 Hausman St,76586
566 Nash St,105952.32
3178 W 41st St,94400
9583 Pagewood Ave,130109.98
615 Rose Ln,74940
927 Euclid Ave Apt 10,484599.4
1456 W 85th St,212100
7411 Elton Ave,118980.87
22164 Umland Cir,1362150
755 Robinwood Dr,127050
542 Sumner St,142643.76
665 Chapman St,247863.32
1677 Walker Ave,213684.95
8143 S Sangamon St,331176.98
3561 Daleford Rd,233726.12
296 Huntington Ave,103767.18
918 Frederick Blvd,76803.08
12028 Wade Park Ave,228444.6
7542 and 7656 S Colfax Ave,755388
4183 E 146th St,92949.77
49 Bannbury Ln,360850
428 Cross St,279236.7
20 Sederholm Path,289600
15 Wilshire Blvd,402500
27 Pillar Ln,457450
402 N Wild Olive Ave,694350
4408 17th Ave,73097.89
783 Leonard St,81104.62
1106 29th Ave,82732.16
432 W Peebles Rd,94861
1432 Sara Ave,95704.7
723 12th St,146476.9
Ohio 3 Property Package,304860
3850 W 17th St,149070
3493 W 119th St,108963
25 Circle Dr,145264.88
1278 E 187th St,91604.08
8708 Willard Ave,124481.1
15555 Millard Ave,153250
6422 Mount Ave,104100
7014 Raymond Ave,104100
5630 Morgan Ford Rd,135322.88
3878 Windermere Rd,131033.63
1039 Mt Vernon Rd,121250.69
2724 Chatsworth St,80635.25
3038-3040 Sinclair St,188076.19
3133 Estes St,204474.73
3905 E 189th St,135443.7
14720 Ohio Ave,137341.61
3514 W 123rd St,136614.67
